215;CORDOBA
215;COROZAL
215;CORRALES
217;COROMORO
217;COYAIMA
218;COVARACHIA
219;COLON
220;CRAVO NORTE
221;COVEÑAS
222;CLEMENCIA
223;CUBARA
223;CUBARRAL
223;CUCUTILLA
224;CUASPUD
224;CUCAITA
224;CUCUNUBA
225;NUNCHIA
226;CUITIVA
226;CUMARAL
226;CUNDAY
227;CUMBAL
228;CURUMANI
229;CURITI
230;CHALAN
230;OROCUE
232;CHIQUIZA
233;CUMBITARA
233;DAGUA
233;EL ROBLE
234;DABEIBA
235;EL CARMEN DE CHUCURI
235;GALERAS
236;CHIVOR
236;DOLORES
237;DON MATIAS
238;DUITAMA
238;EL COPEY
239;DURANIA
240;CHACHAGsI
240;EBEJICO
243;EL AGUILA
244;EL CARMEN DE BOLIVAR
244;EL COCUY
244;ELIAS
245;EL BANCO
245;EL CALVARIO
245;EL CARMEN
245;EL CARMEN DE ATRATO
245;EL COLEGIO
245;EL GUACAMAYO
246;EL CAIRO
247;EL DONCELLO
248;EL CERRITO
248;EL ESPINO
248;EL GUAMO
250;EL BAGRE
250;EL CHARCO
250;EL DOVIO
250;EL LITORAL DEL SAN JUAN
250;EL PASO
250;EL PEÑON
250;EL TARRA
250;PAZ DE ARIPORO
251;EL CASTILLO
254;EL PEÑOL
255;EL PLAYON
256;EL PAUJIL
256;EL ROSARIO
256;EL TAMBO
258;EL PEÑON
258;EL PIÑON
258;EL TABLON DE GOMEZ
260;EL ROSAL
260;EL TAMBO
261;EL ZULIA
263;EL ENCANTO
263;PORE
264;ENCINO
264;ENTRERRIOS
265;GUARANDA
266;ENCISO
266;ENVIGADO
268;EL PEÑON
268;EL RETEN
268;ESPINAL
269;FACATATIVA
270;EL DORADO
270;FALAN
271;FLORIAN
272;FILADELFIA
272;FILANDIA
272;FIRAVITOBA
275;FLANDES
275;FLORIDA
276;FLORESTA
276;FLORIDABLANCA
279;FOMEQUE
279;FONSECA
279;RECETOR
281;FOSCA
282;FREDONIA
283;FRESNO
284;FRONTINO
286;FUNZA
287;FUENTE DE ORO
287;FUNES
288;FUNDACION
288;FUQUENE
290;FLORENCIA
290;FUSAGASUGA
293;GACHALA
293;GACHANTIVA
295;GACHANCIPA
295;GAMARRA
296;GALAN
296;GALAPA
296;GAMEZA
297;GACHETA
298;GAMBITA
298;GARZON
299;GAMA
299;GARAGOA
300;COTORRA
300;FORTUL
300;GUACHENE
300;HATILLO DE LOBA
300;SABANALARGA
302;GENOVA
306;GIGANTE
306;GINEBRA
306;GIRALDO
307;GIRARDOT
307;GIRON
308;GIRARDOTA
310;GOMEZ PLATA
310;GONZALEZ
312;GRANADA
313;GRAMALOTE
313;GRANADA
313;GRANADA
315;GUADALUPE
315;SACAMA
317;GUACAMAYAS
317;GUACHETA
317;GUACHUCAL
318;GUACA
318;GUACARI
318;GUAMAL
318;GUAMAL
318;GUAPI
318;GUARNE
318;GUATICA
319;GUADALUPE
319;GUAMO
320;GUADALUPE
320;GUADUAS
320;GUAITARILLA
320;ORITO
321;GUATAPE
322;GUAPOTA
322;GUASCA
322;GUATEQUE
323;GUALMATAN
324;GUATAQUI
324;GUAVATA
325;GUAYATA
325;MAPIRIPAN
325;SAN LUIS DE PALENQUE
326;GUATAVITA
327;GsEPSA
328;GUAYABAL DE SIQUIMA
330;MESETAS
332;GsICAN
335;GUAYABETAL
339;GUTIERREZ
343;BARRANCO MINAS
344;HACARI
344;HATO
347;HELICONIA
347;HERRAN
347;HERVEO
349;HOBO
349;HONDA
350;LA APARTADA
350;LA MACARENA
352;ICONONZO
352;ILES
353;HISPANIA
354;IMUES
355;INZA
356;IPIALES
357;IQUIRA
359;ISNOS
360;ITAGUI
361;ISTMINA
361;ITUANGO
362;IZA
364;JAMBALO
364;JAMUNDI
364;JARDIN
367;JENESANO
368;JERICO
368;JERICO
368;JERUSALEN
368;JESUS MARIA
370;JORDAN
370;URIBE
372;JUAN DE ACOSTA
372;JUNIN
372;JURADO
376;LA CEJA
377;LA BELLEZA
377;LA CALERA
377;LA CUMBRE
377;LABATECA
377;LABRANZAGRANDE
378;HATONUEVO
378;LA ARGENTINA
378;LA CRUZ
380;LA CAPILLA
380;LA DORADA
380;LA ESTRELLA
381;LA FLORIDA
383;LA CELIA
383;LA GLORIA
385;LA ESPERANZA
385;LA LLANADA
385;LANDAZURI
386;LA MESA
388;LA MERCED
390;LA PINTADA
390;LA TOLA
392;LA SIERRA
394;LA PALMA
396;LA PLATA
397;LA PAZ
397;LA VEGA
398;LA PEÑA
398;LA PLAYA
399;LA UNION
400;LA JAGUA DE IBIRICO
400;LA UNION
400;LA UNION
400;LA UNION
400;LA VIRGINIA
400;LEJANIAS
400;TAMARA
401;LA TEBAIDA
401;LA VICTORIA
402;LA VEGA
403;LA UVITA
403;LA VICTORIA
405;LA CHORRERA
405;LEIVA
405;LOS PATIOS
406;LEBRIJA
407;LA PEDRERA
407;LENGUAZAQUE
407;VILLA DE LEYVA
408;LERIDA
410;LA MONTAÑITA
410;TAURAMENA
411;LIBANO
411;LIBORINA
411;LINARES
413;LLORO
417;LORICA
418;LOPEZ
418;LOS ANDES
418;LOS PALMITOS
418;LOS SANTOS
418;LOURDES
